店舗名,所在地区,住所（地名）,業種・カテゴリ,取扱品目
(株)古川銃砲火薬店,旧田辺地区,新庄町,小売（その他）,銃砲火薬類販売
flor,旧田辺地区,湊,小売（その他）,生花
ベスト・アグリ,旧田辺地区,新庄町,小売（その他）,農業機械販売・修理
PenTerrace 田辺東山店,旧田辺地区,東山,小売（その他）,文具
VOYAGER BRWING BREWERY,旧田辺地区,上の山,小売（その他）,自社製造クラフトビール販売
ほしかや陶器,旧田辺地区,本町,小売（その他）,陶器
BOX,旧田辺地区,上の山,小売（その他）,雑貨
ホトミデンキ,旧田辺地区,高雄,小売（その他）,家電販売
ペットフード専門店 ぽん太,旧田辺地区,片町,小売（その他）,ペットフード犬・猫
自転車生活Touch! マエダ自転車店,旧田辺地区,上万呂,小売（その他）,自転車
前安酒店,旧田辺地区,高雄,小売（その他）,酒類
松﨑花園,旧田辺地区,上万呂,小売（その他）,槙
（有）牟婁石油 稲成SS,旧田辺地区,稲成町,小売（その他）,石油製品一般
（有）牟婁石油 新万SS,旧田辺地区,下万呂,小売（その他）,石油製品一般
メイトスポーツ,旧田辺地区,宝来町,小売（その他）,スポーツ用品
眼鏡市場 紀伊田辺店,旧田辺地区,東山,小売（その他）,眼鏡
めがね家,旧田辺地区,稲成町,小売（その他）,メガネ
モトブーイング,旧田辺地区,上の山,小売（その他）,オートバイ販売
森内楽器店,旧田辺地区,栄町,小売（その他）,楽器・楽譜
森本時計本店,旧田辺地区,福路町,小売（その他）,時計
ヤマダデンキ テックランド田辺店,旧田辺地区,東山,小売（その他）,家電量販店
山中みやげ店,旧田辺地区,湊,小売（その他）,おみやげ
ヤマモトスポーツ,旧田辺地区,神子浜,小売（その他）,スポーツ用品
（株）山本石油,旧田辺地区,芳養町,小売（その他）,石油製品
吉田漁具店,旧田辺地区,湊,小売（その他）,漁具
トイランド ヨネクラ,旧田辺地区,湊,小売（その他）,輸入玩具
Ｒｅ－ｂａｒｒａｃｋ,旧田辺地区,高雄,小売（その他）,雑貨
㈱コンセプトショップRin,旧田辺地区,本町,小売（その他）,家具雑貨
レア ツムラ,旧田辺地区,湊,小売（その他）,バッグ・財布
ワシントン,旧田辺地区,湊,小売（その他）,靴
カフェ＆キッチン明かり家,旧田辺地区,中万呂,飲食・宿泊,軽食
秋津野ガルテン,旧田辺地区,上秋津,飲食・宿泊,飲食（ランチバイキング）
秋平,旧田辺地区,北新町,飲食・宿泊,和食
味三昧 田辺本店,旧田辺地区,下屋敷町,飲食・宿泊,弁当仕出し料理
居酒屋 あじみ,旧田辺地区,下屋敷町,飲食・宿泊,お造り
うどん・そばあそこ,旧田辺地区,宝来町,飲食・宿泊,うどん
あそこまえだ,旧田辺地区,新庄町,飲食・宿泊,うどん
レストラン アラカルト,旧田辺地区,神島台,飲食・宿泊,洋食屋
